cell_id,green_200m,open_200m,commercial_200m,industrial_200m,residential_200m,highway_200m,majroad_200m,road_200m,busroutes_200m,rail_200m,npri_pm_200m,npri_nox_200m,busstop_200m,green_500m,open_500m,commercial_500m,industrial_500m,residential_500m,highway_500m,majroad_500m,road_500m,busroutes_500m,rail_500m,npri_pm_500m,npri_nox_500m,busstop_500m,distance_shore,distance_airport,distance_port,distance_trxstn,distance_npri_pm,distance_npri_nox,lon,lat
14,0,0,0,167.6380773562123,0,0,0,0,0,0,0,0,0,0,0,0,10637.599589753896,0,0,0,0,0,0,0,0,0,26388.323009177613,15223.22998874464,30247.591523318817,13325.875445331149,11220.468243554433,11395.105086410598,-79.55894831307582,43.863279497990455
15,0,0,0,9895.2536898182,0,0,0,0,0,0,0,0,0,0,0,0,10637.599589753896,0,0,0,0,0,0,0,0,0,26233.642963730697,14723.23000783997,29963.392809753903,13058.811733698183,10937.767004591446,11188.098974407212,-79.55272814036579,43.86320087763316
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10637.599589753896,0,0,0,0,0,0,0,0,0,26087.59012301777,14223.230028277245,29684.895559554458,12805.70854766964,10671.016188200554,10999.94079038236,-79.54650799293968,43.8631219188332
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25950.272725601168,13723.230050204376,29412.261730300837,12567.409395716872,10421.440684039506,10831.612812628982,-79.54028787090603,43.86304262159432
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25820.146032287324,13223.230073789602,29145.6558650132,12344.771623292369,10190.302516268486,10684.052361042504,-79.53406777437327,43.86296298592029
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25697.125075374184,12723.230099228414,28885.244875400203,12138.65700738491,9978.88294425687,10558.130212508586,-79.5278477034499,43.86288301181486
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25583.20884820987,12223.230126748182,28631.197795794054,11949.920562690912,9788.459748974394,10448.59499362625,-79.52162765824438,43.86280269928186
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529.5022294027457,0,0,0,25478.37808914001,11723.23015661589,28383.68550650082,11779.39764870494,9620.27981398703,10212.715411845043,-79.5154076388652,43.862722048325075
22,0,0,0,0,0,0,0,0,0,504.7613410104643,0,0,0,0,0,0,0,0,0,0,0,0,809.9691069899359,0,0,0,25382.910511791073,11223.23018914435,28142.88042546452,11627.88959691329,9475.527591723743,9996.298056072495,-79.50918764542082,43.86264105894834
23,0,0,0,0,0,0,0,0,0,457.0073119100728,0,0,0,0,0,0,0,0,0,0,0,0,809.8589755749844,0,0,0,25296.573469744897,10723.230224706756,27908.956167367774,11496.148224066015,9355.290619945055,9800.632304517096,-79.5029676780197,43.8625597311555
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25216.35072537584,10223.230263747491,27682.087169541806,11384.85974886764,9260.52385266324,9626.98355201916,-79.4967477367703,43.862478064950416
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25145.815924326704,9723.2303068032,27462.448284378457,11294.628768271938,9192.015092886715,9476.562195931056,-79.49052782178111,43.86239606033697
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25085.05078916696,9223.230354527695,27250.214338280435,11225.963055558645,9150.35414123249,9350.489281094053,-79.48430793316057,43.86231371731903
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25034.126461493423,8723.230407722302,27045.559657590187,11179.259995029057,9135.908293764956,9249.760458431154,-79.4780880710171,43.86223103590053
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24993.103094353988,8223.230467386249,26848.657562387092,11154.795450753356,9148.806468288443,9175.210476106817,-79.47186823545918,43.86214801608537
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24962.029502425677,7723.230534775921,26659.679829517656,11152.715770602166,9127.480814735496,9127.480814735496,-79.46564842659528,43.862064657877504
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24758.2119578566,7223.230611494171,26478.796126758432,11173.033454327842,9106.993179192994,9106.993179192994,-79.45942864453382,43.86198096128089
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24364.404070087585,6723.230699623877,26306.173420558396,11215.626780667224,9113.931287231184,9113.931287231184,-79.45320888938325,43.86189692629947
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23958.54283127677,6223.230801915336,26141.975360376935,10965.64581113436,9148.232739216606,9148.232739216606,-79.446989161252,43.86181255293728
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23556.30199130866,5723.23092207941,25986.361643227592,10561.694103460592,9209.5917929829,9209.5917929829,-79.44076946024852,43.861727841198274
34,0,0,0,5733.708416894078,0,0,0,0,0,0,0,0,0,0,0,0,27187.57613913715,0,0,0,0,0,2341.2152800778777,0,0,0,23157.87020460511,5223.231065249064,25839.487362613523,10166.286274490703,9297.472760695877,9297.472760695877,-79.43454978648124,43.86164279108651
35,0,0,0,27187.57613913715,0,0,0,0,0,1830.887946110424,0,0,0,0,0,0,27187.57613913715,0,0,0,0,0,3046.3180295776992,0,0,0,22763.437063101937,4723.231238730889,25701.50234660851,9780.458623946395,9411.13268838476,9411.13268838476,-79.42833014005859,43.86155740260599
36,0,0,0,88.69864425249398,0,0,0,0,0,1515.4686200194185,0,0,0,0,0,0,27187.57613913715,0,0,0,0,0,2903.999351128817,0,0,0,22371.184741935107,4223.231453289937,25572.550490374873,9405.390219153403,9549.651157026112,9549.651157026112,-79.42211052108898,43.8614716757608
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21981.559565968095,3723.231725477012,25452.769088899386,9042.419999888143,9711.964577951854,9711.964577951854,-79.41589092968087,43.86138561055498
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21596.481545534232,3223.2320821088765,25342.28817614712,8693.063541364541,9896.902278283636,9896.902278283636,-79.40967136594266,43.861299206992626
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21216.19827728328,2723.232569699759,25241.229877185873,8359.02793475569,10103.221934036705,10103.221934036705,-79.40345182998276,43.86121246507783
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159510.53791237436,0,0,0,0,0,0,0,0,0,20840.767669095676,2223.2332766071772,25149.70778007171,8042.222472293052,10329.64240382505,10329.64240382505,-79.39723232190961,43.86112538481471
41,0,0,0,150752.08483349567,0,0,0,0,0,0,0,0,0,0,0,0,493283.13590553857,0,0,0,0,0,0,0,0,0,20470.4783147397,1723.2343937344997,25067.82633442817,7744.7618797272125,10574.872620197848,10574.872620197848,-79.3910128418316,43.86103796620741
42,0,0,0,343642.2997471611,0,0,0,0,0,0,0,0,0,0,0,0,815199.5911539071,0,0,0,0,0,0,0,0,0,20105.804331865493,1223.2364241179928,24995.680283663187,7468.957815753461,10837.63579734574,10837.63579734574,-79.38479338985715,43.860950209260075
43,0,0,0,396785.8015495918,0,0,0,0,0,0,0,0,0,0,0,0,1067117.1793322405,0,0,0,0,0,0,0,0,0,19746.062008013832,723.2412618394139,24933.354137643884,7217.293477012678,11116.688734439533,11116.688734439533,-79.37857396609466,43.86086211397684
44,0,0,0,631547.6891856294,0,0,0,0,0,0,0,0,0,0,0,0,1210810.545096016,0,0,0,0,0,0,0,0,0,19391.17965553765,223.2677683084743,24880.921692397555,6992.375806058746,10830.795557824022,11410.836391821524,-79.37235457065253,43.86077368036192
45,0,0,0,576888.3610936154,0,0,0,0,0,0,0,0,0,0,0,0,1079841.3733588287,0,0,0,0,0,0,0,0,0,19042.813133629967,276.801499099555,24838.445603001714,6796.860576250054,10374.3693937875,11718.942183636727,-79.36613520363919,43.860684908419486
46,0,0,0,194789.7405235928,0,0,0,0,0,0,0,0,0,0,0,0,679974.7608135766,0,0,0,0,0,0,0,0,0,18694.16665797616,776.7815931408165,24805.977015294724,6633.348172138044,9922.144335884388,11509.479486904624,-79.35991586516299,43.86059579815376
47,0,0,0,63412.502050888725,0,0,0,0,0,0,0,0,0,0,0,0,376284.27094698464,0,0,0,0,0,0,0,0,0,18321.771880412492,1276.7772777505045,24783.55526137012,6504.252628291293,9474.721955049694,11193.971850171498,-79.35369655533236,43.860506349568965
48,0,0,0,228780.1204719171,0,0,0,0,0,0,0,0,0,0,0,0,351550.7316600997,0,0,0,0,0,0,0,0,0,17955.51158942757,1776.7753911282546,24771.20762303368,6411.653182484177,9032.815952341156,10892.28596325754,-79.34747727425567,43.86041656266937
